stock_id,date,open,high,low,close,volume
2330,2025-07-01,1080.0,1095.0,1075.0,1085.0,52818889
2330,2025-07-02,1075.0,1085.0,1070.0,1085.0,24453697
2330,2025-07-03,1105.0,1105.0,1090.0,1090.0,39719503
2330,2025-07-04,1095.0,1100.0,1080.0,1085.0,23556842
2330,2025-07-07,1080.0,1085.0,1070.0,1080.0,19949311
2330,2025-07-08,1070.0,1080.0,1065.0,1080.0,29944918
2330,2025-07-09,1070.0,1090.0,1065.0,1090.0,25899845
2330,2025-07-10,1095.0,1100.0,1090.0,1100.0,23947482
2330,2025-07-11,1095.0,1100.0,1090.0,1100.0,30615792
2330,2025-07-14,1100.0,1100.0,1085.0,1095.0,29975913
2330,2025-07-15,1095.0,1115.0,1090.0,1110.0,49458466
2330,2025-07-16,1120.0,1130.0,1120.0,1130.0,34513639
2330,2025-07-17,1130.0,1135.0,1115.0,1130.0,36971364
2330,2025-07-18,1155.0,1160.0,1145.0,1155.0,50467755
2330,2025-07-21,1145.0,1150.0,1135.0,1150.0,32374260
2330,2025-07-22,1145.0,1160.0,1130.0,1130.0,54933274
2330,2025-07-23,1140.0,1145.0,1135.0,1145.0,31360184
2330,2025-07-24,1150.0,1155.0,1145.0,1145.0,16038287
2330,2025-07-25,1150.0,1155.0,1140.0,1145.0,23026843
2330,2025-07-28,1155.0,1160.0,1145.0,1145.0,23153187
2330,2025-07-29,1145.0,1145.0,1125.0,1135.0,41471548
2330,2025-07-30,1150.0,1160.0,1145.0,1155.0,37445435
2330,2025-07-31,1160.0,1165.0,1155.0,1160.0,35986507
